# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 426, mean track length: 2
354 2.8548510142359533 1.6320143525247475 6.0362128481957864 124 126 113 0.31961104557486175 1 1445 2 1545
353 2.7356134718574951 1.6341251278451261 6.0637527473117583 129 132 125 0.74630625325955513 1 1441 2 1541
352 5.5819229389330953 1.3434793748400207 4.7114100100196126 16 17 11 0.70167850005515386 1 1439 2 1743
351 5.0472566711742406 1.3741016140148374 4.8516252927782162 34 35 29 0.2167906323137169 1 1437 2 1728
350 5.0245040957909728 1.3771024744996805 4.8627476222050241 22 25 16 0.054159010038902847 1 1436 2 1727
349 5.8051794598880999 1.1951124399031219 4.0815710068568922 103 104 96 0.15477477002740581 1 1434 2 1791
348 4.8568929515804369 1.3840047135680047 4.9211498315297852 26 27 19 0.76367246974212666 1 1433 2 1711
347 2.4742028658098225 1.7237796396263672 6.5310582361122211 85 92 85 0.32697321288370823 1 1432 2 1456
346 5.872399719330736 1.1741521688079433 4.0486676257368526 158 162 153 0.44891937944828963 1 1405 2 1774
345 2.9424124119144497 1.5835207582828703 6.035902453730186 96 98 85 0.19591263349594362 1 1382 2 1498
344 2.5856648098986574 1.6740839237310288 6.5039893296100963 125 126 118 1.0023048612090952 1 1381 2 1415
343 2.8659890249285116 1.5832945549394581 6.0424321511739816 129 131 119 1.1154403956926848 1 1377 2 1497
342 2.4837758383891413 1.6763815765930765 6.5449478586493886 93 94 88 0.025568836451868242 1 1374 2 1406
341 3.684959526026689 1.2613615590661451 4.5556093501641932 112 106 102 0.52168293084477257 1 1372 2 1709
340 2.4134948305717279 1.6761478593360299 6.5594845889977336 112 114 107 0.58757206022183184 1 1371 2 1401
339 3.8257678622151228 1.2448832496355666 4.5228600150193845 137 140 129 0.25905347655515926 1 1362 2 1701
338 3.7360323149527876 1.2481888798523399 4.5436525828835794 149 154 147 0.24746794727595126 1 1361 2 1693
337 3.0266000182130908 1.5488260353020258 6.0488216738571108 100 100 88 0.063524287634533216 1 1347 2 1468
336 2.9506804697700111 1.5417832523488326 6.0523995675685995 100 100 90 0.16011895489856209 1 1341 2 1453
335 2.5995694374667648 1.6266151104740425 6.5061310943183805 127 128 122 0.12317555864284656 1 1333 2 1378
334 2.4937689935486906 1.6335449292775903 6.557543338429296 94 95 90 0.28552137435279262 1 1332 2 1371
333 3.0364124821996299 1.5011046130168437 6.0606590885374452 107 107 97 0.55049844001447579 1 1298 2 1417
332 5.153386678626525 1.1710572878108931 4.3792694847824833 82 83 75 0.78249682910727136 1 1295 2 1681
